County_Forest_NH,Cost_Forest_NH,Qty_Forest_NH,County_Forest_H,Cost_Forest_H,Qty_Forest_H,County_Soil,Cost_Soil,Qty_Soil,County_MinCost,Cost_MinCost,Qty_MinCost,County_MaxQty,Cost_MaxQty,Qty_MaxQty,County_CE,Cost_CE,Qty_CE,Revenues_CE
"BUTLER COUNTY, NE",55.29814582,868299705.8,"FRANKLIN COUNTY, NC",38.83250111,869777099.1,"CHESTER COUNTY, PA",14.31133116,229014563.9,"MORGAN COUNTY, MO",12.00301528,448433146.5,"CEDAR COUNTY, MO",41.59325665,920286456.1,"GREEN COUNTY, WI",22.69042722,777154867,17633975945
"HENRY COUNTY, TN",55.30322698,868582089.2,"UNION COUNTY, KY",38.89085452,870253208.9,"CRAWFORD COUNTY, OH",14.3219892,229418643.9,"JACKSON COUNTY, MI",12.00958184,448664702.7,"HENDERSON COUNTY, TX",41.65306528,921002320.8,"DIXIE COUNTY, FL",22.6928851,777508257.1,17643905542
"CENTRE COUNTY, PA",55.30447679,869085586.4,"PRINCE GEORGE COUNTY, VA",38.91501723,870417832.2,"STEARNS COUNTY, MN",14.33264724,230251848,"DE SOTO PARISH, LA",12.02023988,448676359.9,"MADISON COUNTY, MO",41.73176948,921132383.7,"FREEBORN COUNTY, MN",22.7084521,778248074.3,17672809119
"YORK COUNTY, NE",55.32400099,869972176.5,"CAVALIER COUNTY, ND",38.92806374,870798778.5,"HODGEMAN COUNTY, KS",14.33800993,230913653.7,"DAWSON COUNTY, GA",12.04155596,448676464.6,"MEIGS COUNTY, TN",41.7367235,921255625.2,"LINCOLN COUNTY, NV",22.81383772,778249987.4,17754868917
"BENTON COUNTY, TN",55.32422481,870071030.3,"JOHNSTON COUNTY, NC",38.94387768,871650561.3,"ST LANDRY PARISH, LA",14.36461294,231475843.7,"HENNEPIN COUNTY, MN",12.052214,448759260.6,"VAN BUREN COUNTY, TN",41.74477489,921359774.1,"SANTA CLARA COUNTY, CA",22.83377415,778613214.9,17778678301
"GALLATIN COUNTY, KY",55.37675994,870114409.1,"STEELE COUNTY, ND",38.99764633,872251822,"EDWARDS COUNTY, KS",14.38514608,232081248.5,"CLARION COUNTY, PA",12.052214,448871627,"BLAIR COUNTY, PA",41.79676225,921671044.8,"CHARLES COUNTY, MD",22.83860371,778873811.8,17788390324
"CUSTER COUNTY, CO",55.38856086,870379969,"ST CLAIR COUNTY, MO",39.02638842,872650538.5,"TAYLOR COUNTY, WI",14.38592902,232408346.3,"CLARK COUNTY, NV",12.05569854,448871999,"AMHERST COUNTY, VA",41.83162807,921818188.3,"COLBERT COUNTY, AL",22.85208347,779206626.2,17806494864
"KAUFMAN COUNTY, TX",55.39936647,871167343.1,"DE SOTO COUNTY, FL",39.07836582,873534417.4,"RICHARDSON COUNTY, NE",14.42855276,232918936.4,"OKFUSKEE COUNTY, OK",12.0805833,449465031.1,"GRANT COUNTY, KY",41.83667438,922017340.7,"MIFFLIN COUNTY, PA",22.85987114,779487281.9,17818978819
"VERNON COUNTY, WI",55.44268575,871968529.7,"CHEATHAM COUNTY, TN",39.23878882,873650224.2,"NESS COUNTY, KS",14.45357305,233820908.2,"ALLEGAN COUNTY, MI",12.0841797,449847502.4,"SEMINOLE COUNTY, FL",41.87951489,922071668.3,"JEFFERSON COUNTY, OH",22.89446469,779701899.3,17850857600
"RALLS COUNTY, MO",55.4547783,872457618.1,"TRUMBULL COUNTY, OH",39.30626738,874160999.2,"CLAY COUNTY, SD",14.47207729,234142327.8,"ASHLAND COUNTY, OH",12.0841797,450073692.1,"MADISON COUNTY, TX",41.91565573,922647239.2,"MUSKINGUM COUNTY, OH",22.90214554,780271971,17869902239
"ST CHARLES PARISH, LA",55.48466299,872493934.7,"KENT COUNTY, MD",39.33899643,874569177.6,"PETTIS COUNTY, MO",14.50315061,234463205.3,"ERIE COUNTY, PA",12.09483774,450264795.6,"MONROE COUNTY, WI",41.92667434,923371591.1,"MADISON COUNTY, IN",22.93223726,780709023,17903404547
"EATON COUNTY, MI",55.50927436,873280088.1,"BASTROP COUNTY, TX",39.34899147,875063966.2,"CLAY COUNTY, MO",14.50697269,234555596,"FISHER COUNTY, TX",12.09913187,451830174.8,"CHEROKEE COUNTY, KS",41.9481924,924093100.4,"HARRISON COUNTY, OH",22.94770298,780989729.6,17921920341
"HARDEMAN COUNTY, TN",55.55757941,873513211.6,"INDIAN RIVER COUNTY, FL",39.50766197,875563693.5,"CRAWFORD COUNTY, AR",14.51380024,234584632.7,"THURSTON COUNTY, NE",12.1161454,451833673.7,"UNION COUNTY, PA",42.00692281,924361508.3,"PAYNE COUNTY, OK",22.96632137,781754067.8,17954015155
"WASECA COUNTY, MN",55.61850439,874204951.1,"STOKES COUNTY, NC",39.51533402,875819696.3,"MORRISON COUNTY, MN",14.51380024,234921874.3,"LANGLADE COUNTY, WI",12.12680344,452001156.1,"PIKE COUNTY, GA",42.05778535,924524329.8,"LAKE COUNTY, MT",23.03237543,782007093.5,18011480966
"OUACHITA PARISH, LA",55.64295904,874344937.5,"GRATIOT COUNTY, MI",39.57581146,876591110.9,"WAYNE COUNTY, OH",14.51380024,235288083.2,"HAMLIN COUNTY, SD",12.12807466,452344253.9,"LARIMER COUNTY, CO",42.14480935,924740488.1,"ATHENS COUNTY, OH",23.07051008,782271706.9,18047407297
"ELBERT COUNTY, GA",55.70886195,874504486.6,"LAUDERDALE COUNTY, AL",39.57655309,877137512.4,"STODDARD COUNTY, MO",14.52445828,236015154.8,"PAULDING COUNTY, OH",12.14619721,453333064.1,"BEDFORD COUNTY, PA",42.18333757,925414611,"WASHINGTON COUNTY, MD",23.10279042,782843977.9,18085880354
"OHIO COUNTY, KY",55.72645656,874777952,"OSAGE COUNTY, KS",39.63261733,877919179.7,"WALWORTH COUNTY, WI",14.52445828,236402077.9,"VINTON COUNTY, OH",12.14811952,453351318.6,"GONZALES COUNTY, TX",42.19629358,926188443,"WASHINGTON PARISH, LA",23.10996381,783109785,18097638786
"OKALOOSA COUNTY, FL",55.76432664,874899995.1,"MANITOWOC COUNTY, WI",39.71452921,878672317.2,"SCHLEICHER COUNTY, TX",14.53726308,236404098.4,"LABETTE COUNTY, KS",12.15876914,453596018.5,"ADA COUNTY, ID",42.21588273,926221944.5,"NACOGDOCHES COUNTY, TX",23.12495276,783537325.8,18119263643
"GASCONADE COUNTY, MO",55.82107733,875141586.3,"EAST FELICIANA PARISH, LA",39.746894,878900281.9,"HENRY COUNTY, MO",14.56708202,236608618.4,"RENVILLE COUNTY, MN",12.17137189,454700459,"CHARLES MIX COUNTY, SD",42.23603524,926857332.6,"CONEJOS COUNTY, CO",23.13030627,783572176.8,18124264437
"METCALFE COUNTY, KY",55.83556949,875297151.9,"VAN WERT COUNTY, OH",39.868536,879741662.7,"JEFFERSON DAVIS PARISH, LA",14.60971417,237196650.8,"KINGSBURY COUNTY, SD",12.18127225,455147818.3,"NANCE COUNTY, NE",42.24989756,927497465.5,"IDA COUNTY, IA",23.14535596,784037647.3,18146830434
"WILKINSON COUNTY, MS",55.86135543,875401064.7,"ORANGE COUNTY, NY",39.9559467,880209350.9,"WASHINGTON COUNTY, NE",14.63102184,237603334,"CAPE GIRARDEAU COUNTY, MO",12.2014013,455309161.6,"UNION COUNTY, OH",42.38552719,928332925.8,"KANE COUNTY, UT",23.17608933,784060891,18171465246
"SALINE COUNTY, NE",55.88389476,876272873.1,"MADISON COUNTY, MO",39.96062238,880323658,"BUENA VISTA COUNTY, IA",14.64592289,238245637.8,"CLARK COUNTY, KS",12.21203613,456469388.9,"RIPLEY COUNTY, MO",42.38762204,928547850.9,"FULTON COUNTY, OH",23.18798812,784490482.6,18190755991
"PLATTE COUNTY, MO",55.89464813,876664635,"HINSDALE COUNTY, CO",39.98209171,880341717,"MONTMORENCY COUNTY, MI",14.65233791,238265355.9,"VENTURA COUNTY, CA",12.24655929,456872776.2,"MEEKER COUNTY, MN",42.39940294,929480290.8,"OUTAGAMIE COUNTY, WI",23.21995382,784852016.1,18224227569
"HAYS COUNTY, TX",55.89469078,876856050.9,"MADISON COUNTY, KY",40.00942806,880797577.3,"BEDFORD COUNTY, PA",14.65233791,238379477.3,"CRAWFORD COUNTY, MO",12.26464237,456875012.3,"BOSSIER PARISH, LA",42.45342093,929699757,"CLAY COUNTY, NE",23.23061186,785531636.6,18248380553
"EDWARDS COUNTY, IL",55.90170154,877137976,"CLAY COUNTY, TN",40.06658957,880891423.6,"BARTON COUNTY, KS",14.65758275,239290147.1,"ONTARIO COUNTY, NY",12.29730682,457098559.3,"BRADFORD COUNTY, PA",42.48852457,930853249.7,"JEFFERSON COUNTY, TX",23.24536289,786257720.5,18276846038
"ST JOSEPH COUNTY, MI",55.94038297,877790987.9,"CUSTER COUNTY, NE",40.08586598,884334287.8,"MORGAN COUNTY, OH",14.66298754,239304884.9,"STEUBEN COUNTY, NY",12.29826944,458256899.6,"PULASKI COUNTY, VA",42.56605993,931055531.1,"CHATHAM COUNTY, NC",23.27597811,786643167,18309889134
